shopid,is_shopee_verified,is_preferred_plus_seller,is_official_shop,item_count,rating_star,follower_count,show_official_shop_label,rating_bad,rating_good,rating_normal
1025,False,False,False,257,4.951501,782,False,1,435,3
1026,True,False,False,157,4.950801,6679,False,28,11675,97
1027,False,False,True,159,4.921503,75658,True,13,2379,23
1028,False,False,False,10,4.949495,291,False,0,103,1
1029,False,False,True,1655,4.919638,90634,True,165,29202,363
1030,False,False,False,184,4.914013,3440,False,23,3450,39
1031,False,False,False,157,4.873345,12108,False,44,2828,51
1032,True,True,False,53,4.99066,15016,False,1,7178,5
1033,True,True,False,2525,4.959323,225063,False,134,80404,566
1034,True,False,False,519,4.943839,109951,False,208,58431,550
1035,False,False,False,294,4.8125,1623,False,128,5406,138
1036,True,False,False,633,4.91597,25860,False,150,22695,311
1037,True,False,False,270,4.894682,6074,False,75,6099,83
1038,True,False,False,2173,4.93523,56408,False,34,11536,120
1039,False,False,False,36,4.908136,13215,False,3,416,6
1040,True,True,False,1323,4.870577,21784,False,114,9360,180
1041,False,False,False,92,4.9422,2461,False,17,4937,47
1042,True,True,False,1532,4.964251,83400,False,32,34472,227
1043,True,True,False,36,4.975462,23428,False,4,6371,15
